0;4;STOP;1312;2024-02-09 14:58:42.0000000;2024-02-09 15:01:56.0000000
1;4;DRIVE;NULL;2024-02-09 14:51:20.0000000;2024-02-09 14:55:42.0000000
2;4;STOP;1273;2024-02-24 09:26:31.0000000;2024-02-24 09:32:12.0000000
3;4;DRIVE;NULL;2024-02-24 09:15:02.0000000;2024-02-24 09:23:31.0000000
4;1;STOP;1036;2024-02-24 20:26:23.0000000;2024-02-24 20:26:23.0000000
5;1;DRIVE;NULL;2024-02-24 20:17:02.0000000;2024-02-24 20:23:23.0000000
6;1;STOP;NULL;2024-02-24 20:03:27.0000000;2024-02-24 20:20:43.0000000
7;2;STOP;2178;2024-02-23 09:39:03.0000000;2024-02-23 09:40:47.0000000
8;2;DRIVE;NULL;2024-02-23 09:28:27.0000000;2024-02-23 09:36:03.0000000
9;2;STOP;NULL;2024-02-23 09:14:28.0000000;2024-02-23 09:31:22.0000000
10;4;STOP;331;2024-02-26 07:03:21.0000000;2024-02-26 07:06:16.0000000
11;4;DRIVE;NULL;2024-02-26 06:54:47.0000000;2024-02-26 07:00:21.0000000
12;1;STOP;2221;2024-02-16 04:37:40.0000000;2024-02-16 04:40:06.0000000
13;1;DRIVE;NULL;2024-02-16 04:26:14.0000000;2024-02-16 04:34:40.0000000
14;1;STOP;NULL;2024-02-16 04:16:00.0000000;2024-02-16 04:28:51.0000000
15;4;STOP;355;2024-02-18 21:18:21.0000000;2024-02-18 21:22:54.0000000
16;4;DRIVE;NULL;2024-02-18 21:04:48.0000000;2024-02-18 21:15:21.0000000
17;2;STOP;1469;2024-02-02 07:06:35.0000000;2024-02-02 07:06:35.0000000
18;2;DRIVE;NULL;2024-02-02 06:54:26.0000000;2024-02-02 07:03:35.0000000
19;2;STOP;1461;2024-02-02 21:06:43.0000000;2024-02-02 21:08:58.0000000
20;2;DRIVE;NULL;2024-02-02 20:59:11.0000000;2024-02-02 21:03:43.0000000
21;1;STOP;2222;2024-02-21 15:27:26.0000000;2024-02-21 15:27:26.0000000
22;1;DRIVE;NULL;2024-02-21 15:19:15.0000000;2024-02-21 15:24:26.0000000
23;3;STOP;1427;2024-02-22 18:24:15.0000000;2024-02-22 18:26:35.0000000
24;3;DRIVE;NULL;2024-02-22 18:13:51.0000000;2024-02-22 18:21:15.0000000
25;2;STOP;1174;2024-02-02 14:20:59.0000000;2024-02-02 14:23:30.0000000
26;2;DRIVE;NULL;2024-02-02 14:13:28.0000000;2024-02-02 14:13:28.0000000
27;2;STOP;265;2024-02-07 08:22:27.0000000;2024-02-07 08:24:40.0000000
28;2;DRIVE;NULL;2024-02-07 08:12:03.0000000;2024-02-07 08:19:27.0000000
29;2;STOP;NULL;2024-02-07 08:02:33.0000000;2024-02-07 08:15:27.0000000
30;4;STOP;1817;2024-02-12 19:09:29.0000000;2024-02-12 19:14:12.0000000
31;4;DRIVE;NULL;2024-02-12 19:02:35.0000000;2024-02-12 19:06:29.0000000
32;4;STOP;809;2024-02-26 09:28:53.0000000;2024-02-26 09:35:16.0000000
33;4;DRIVE;NULL;2024-02-26 09:20:27.0000000;2024-02-26 09:25:53.0000000
34;1;STOP;2120;2024-02-28 09:43:53.0000000;2024-02-28 09:44:25.0000000
35;1;DRIVE;NULL;2024-02-28 09:34:12.0000000;2024-02-28 09:40:53.0000000
36;1;STOP;351;2024-02-13 03:05:59.0000000;2024-02-13 03:07:40.0000000
37;1;DRIVE;NULL;2024-02-13 03:00:11.0000000;2024-02-13 03:02:59.0000000
38;4;STOP;1325;2024-02-01 02:50:54.0000000;2024-02-01 03:00:10.0000000
39;4;DRIVE;NULL;2024-02-01 02:43:01.0000000;2024-02-01 02:47:54.0000000
40;1;STOP;2129;2024-02-23 20:35:49.0000000;2024-02-23 20:36:38.0000000
41;1;DRIVE;NULL;2024-02-23 20:27:45.0000000;2024-02-23 20:32:49.0000000
42;4;STOP;1359;2024-02-28 06:45:54.0000000;2024-02-28 06:53:52.0000000
