0;4;STOP;1312;2024-02-09 14:58:42.0000000;2024-02-09 15:01:56.0000000;1312;149;1;175
2;4;STOP;1273;2024-02-24 09:26:31.0000000;2024-02-24 09:32:12.0000000;1273;228;3;177
4;1;STOP;1036;2024-02-24 20:26:23.0000000;2024-02-24 20:26:23.0000000;1036;283;3;177
7;2;STOP;2178;2024-02-23 09:39:03.0000000;2024-02-23 09:40:47.0000000;2178;234;3;177
10;4;STOP;331;2024-02-26 07:03:21.0000000;2024-02-26 07:06:16.0000000;331;272;3;178
12;1;STOP;2221;2024-02-16 04:37:40.0000000;2024-02-16 04:40:06.0000000;2221;284;1;176
15;4;STOP;355;2024-02-18 21:18:21.0000000;2024-02-18 21:22:54.0000000;355;316;2;175
17;2;STOP;1469;2024-02-02 07:06:35.0000000;2024-02-02 07:06:35.0000000;1469;122;3;169
19;2;STOP;1461;2024-02-02 21:06:43.0000000;2024-02-02 21:08:58.0000000;1461;211;3;169
21;1;STOP;2222;2024-02-21 15:27:26.0000000;2024-02-21 15:27:26.0000000;2222;152;3;177
23;3;STOP;1427;2024-02-22 18:24:15.0000000;2024-02-22 18:26:35.0000000;1427;266;3;177
25;2;STOP;1174;2024-02-02 14:20:59.0000000;2024-02-02 14:23:30.0000000;1174;111;2;169
27;2;STOP;265;2024-02-07 08:22:27.0000000;2024-02-07 08:24:40.0000000;265;251;3;180
30;4;STOP;1817;2024-02-12 19:09:29.0000000;2024-02-12 19:14:12.0000000;1817;116;3;176
32;4;STOP;809;2024-02-26 09:28:53.0000000;2024-02-26 09:35:16.0000000;809;270;2;178
34;1;STOP;2120;2024-02-28 09:43:53.0000000;2024-02-28 09:44:25.0000000;2120;291;2;179
36;1;STOP;351;2024-02-13 03:05:59.0000000;2024-02-13 03:07:40.0000000;351;176;2;175
38;4;STOP;1325;2024-02-01 02:50:54.0000000;2024-02-01 03:00:10.0000000;1325;237;1;200
40;1;STOP;2129;2024-02-23 20:35:49.0000000;2024-02-23 20:36:38.0000000;2129;68;1;177
42;4;STOP;1359;2024-02-28 06:45:54.0000000;2024-02-28 06:53:52.0000000;1359;30;1;179
44;1;STOP;467;2024-02-17 18:45:32.0000000;2024-02-17 18:46:31.0000000;467;284;3;176
46;2;STOP;1047;2024-02-10 15:50:53.0000000;2024-02-10 15:52:41.0000000;1047;10;3;175
48;2;STOP;1145;2024-02-08 19:30:45.0000000;2024-02-08 19:32:18.0000000;1145;91;2;177
50;2;STOP;2186;2024-02-28 08:30:20.0000000;2024-02-28 08:33:33.0000000;2186;203;2;179
52;1;STOP;556;2024-02-21 08:38:17.0000000;2024-02-21 08:39:29.0000000;556;197;3;177
54;3;STOP;304;2024-02-19 06:17:56.0000000;2024-02-19 06:21:56.0000000;304;64;2;176
57;4;STOP;414;2024-02-18 08:09:13.0000000;2024-02-18 08:14:03.0000000;414;6;2;175
59;4;STOP;1999;2024-02-25 17:12:54.0000000;2024-02-25 17:12:54.0000000;1999;287;2;178
61;2;STOP;1210;2024-02-22 17:42:52.0000000;2024-02-22 17:46:05.0000000;1210;138;1;177
63;1;STOP;1962;2024-02-25 02:09:09.0000000;2024-02-25 02:10:07.0000000;1962;251;2;178
65;1;STOP;27;2024-02-01 20:47:52.0000000;2024-02-01 20:48:59.0000000;27;141;2;200
67;3;STOP;231;2024-02-03 17:27:10.0000000;2024-02-03 17:30:39.0000000;231;152;3;170
69;2;STOP;2185;2024-02-03 03:53:28.0000000;2024-02-03 03:58:08.0000000;2185;23;1;170
71;1;STOP;48;2024-02-11 07:59:17.0000000;2024-02-11 07:59:17.0000000;48;308;3;176
74;3;STOP;1732;2024-02-28 15:46:33.0000000;2024-02-28 15:49:45.0000000;1732;273;2;179
76;2;STOP;1577;2024-02-13 17:43:33.0000000;2024-02-13 17:45:22.0000000;1577;12;1;175
78;3;STOP;2161;2024-02-20 19:10:13.0000000;2024-02-20 19:12:27.0000000;2161;287;2;178
80;1;STOP;152;2024-02-01 20:41:21.0000000;2024-02-01 20:43:22.0000000;152;278;1;200
83;3;STOP;328;2024-02-08 15:22:08.0000000;2024-02-08 15:26:21.0000000;328;222;1;177
86;4;STOP;66;2024-02-28 21:22:51.0000000;2024-02-28 21:27:47.0000000;66;239;1;179
88;2;STOP;1591;2024-02-24 02:08:01.0000000;2024-02-24 02:11:02.0000000;1591;297;1;177
91;4;STOP;235;2024-02-25 09:59:30.0000000;2024-02-25 10:05:42.0000000;235;37;2;178
93;2;STOP;846;2024-02-18 16:41:48.0000000;2024-02-18 16:44:13.0000000;846;144;1;175
95;4;STOP;2083;2024-02-23 20:17:50.0000000;2024-02-23 20:21:00.0000000;2083;125;3;177
97;1;STOP;1006;2024-02-24 14:25:19.0000000;2024-02-24 14:26:21.0000000;1006;159;3;177
99;2;STOP;944;2024-02-27 09:49:31.0000000;2024-02-27 09:51:11.0000000;944;210;2;179
101;3;STOP;186;2024-02-02 19:22:39.0000000;2024-02-02 19:25:44.0000000;186;50;2;169
103;1;STOP;1531;2024-02-05 02:06:18.0000000;2024-02-05 02:08:15.0000000;1531;103;1;175
105;3;STOP;1822;2024-02-03 02:32:30.0000000;2024-02-03 02:34:44.0000000;1822;63;3;170
107;3;STOP;1822;2024-02-03 02:32:30.0000000;2024-02-03 02:34:44.0000000;1822;63;3;170
108;2;STOP;1007;2024-02-09 03:58:14.0000000;2024-02-09 04:00:12.0000000;1007;47;3;175
110;3;STOP;1669;2024-02-11 15:31:56.0000000;2024-02-11 15:35:13.0000000;1669;160;2;176
113;3;STOP;2188;2024-02-10 04:35:49.0000000;2024-02-10 04:39:27.0000000;2188;106;2;175
116;1;STOP;627;2024-02-01 09:25:06.0000000;2024-02-01 09:26:21.0000000;627;192;1;200
118;3;STOP;629;2024-02-16 21:21:53.0000000;2024-02-16 21:21:53.0000000;629;124;1;176
120;3;STOP;1624;2024-02-08 02:17:53.0000000;2024-02-08 02:17:53.0000000;1624;175;3;177
123;2;STOP;1284;2024-02-23 18:52:41.0000000;2024-02-23 18:56:18.0000000;1284;304;1;177
126;2;STOP;239;2024-02-17 15:12:56.0000000;2024-02-17 15:15:05.0000000;239;136;2;176
128;1;STOP;2062;2024-02-12 20:51:59.0000000;2024-02-12 20:52:39.0000000;2062;33;3;176
130;1;STOP;1341;2024-02-27 02:22:05.0000000;2024-02-27 02:21:00.0000000;1341;184;3;179
132;2;STOP;1686;2024-02-03 02:12:15.0000000;2024-02-03 02:17:55.0000000;1686;268;1;170
134;4;STOP;969;2024-02-06 08:58:44.0000000;2024-02-06 09:04:58.0000000;969;265;1;175
136;3;STOP;610;2024-02-05 07:59:38.0000000;2024-02-05 07:56:11.0000000;610;73;3;175
138;3;STOP;588;2024-02-10 05:10:12.0000000;2024-02-10 05:12:43.0000000;588;221;2;175
141;4;STOP;121;2024-02-07 05:45:56.0000000;2024-02-07 05:52:25.0000000;121;93;3;180
144;4;STOP;1429;2024-02-17 21:08:43.0000000;2024-02-17 21:11:06.0000000;1429;183;2;176
146;4;STOP;1259;2024-02-28 17:11:42.0000000;2024-02-28 17:20:18.0000000;1259;109;1;179
148;4;STOP;1173;2024-02-07 06:38:18.0000000;2024-02-07 06:45:20.0000000;1173;214;2;180
150;4;STOP;1476;2024-02-11 08:13:14.0000000;2024-02-11 08:18:12.0000000;1476;88;3;176
152;3;STOP;1906;2024-02-18 08:54:48.0000000;2024-02-18 09:00:48.0000000;1906;226;1;175
154;4;STOP;44;2024-02-19 08:20:38.0000000;2024-02-19 08:24:26.0000000;44;199;2;176
156;1;STOP;2008;2024-02-14 14:39:59.0000000;2024-02-14 14:41:13.0000000;2008;179;1;176
158;2;STOP;1769;2024-02-17 16:39:27.0000000;2024-02-17 16:41:15.0000000;1769;35;2;176
160;1;STOP;1230;2024-02-23 09:19:09.0000000;2024-02-23 09:20:55.0000000;1230;71;1;177
162;3;STOP;1989;2024-02-23 04:42:36.0000000;2024-02-23 04:45:41.0000000;1989;199;3;177
165;2;STOP;948;2024-02-01 18:13:12.0000000;2024-02-01 18:16:40.0000000;948;220;1;200
167;4;STOP;2035;2024-02-08 05:24:17.0000000;2024-02-08 05:29:26.0000000;2035;181;3;177
170;2;STOP;469;2024-02-12 08:19:11.0000000;2024-02-12 08:20:41.0000000;469;38;2;176
